Class,'handicapped infants','water project cost sharing','adoption of the budget resolution','physician fee freeze','el salvador aid','religious groups in schools','anti satellite test ban','aid to nicaraguan contras','mx missile',' immigration','synfuels corporation cutback','education spending','superfund right to sue',crime,' duty free exports','export administration act south africa'
republican,n,y,n,y,y,y,n,n,n,y,Unknown,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
democrat,Unknown,y,y,Unknown,y,y,n,n,n,n,y,n,y,y,n,n
democrat,n,y,y,n,Unknown,y,n,n,n,n,y,n,y,n,n,y
democrat,y,y,y,n,y,y,n,n,n,n,y,Unknown,y,y,y,y
democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
democrat,n,y,n,y,y,y,n,n,n,n,n,n,Unknown,y,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,Unknown,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,Unknown,Unknown
republican,n,y,n,y,y,n,n,n,n,n,Unknown,Unknown,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,n,y,Unknown,y,y,Unknown,Unknown
democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,Unknown,Unknown
democrat,y,y,y,n,n,y,y,y,Unknown,y,y,Unknown,n,n,y,Unknown
republican,n,y,n,y,y,y,n,n,n,n,n,y,Unknown,Unknown,n,Unknown
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,Unknown,n,Unknown
democrat,y,n,y,n,n,y,n,y,Unknown,y,y,y,Unknown,n,n,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,Unknown,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,Unknown,y,y,n,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,Unknown,Unknown,y,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,Unknown,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,Unknown
democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,Unknown,n,y,y,y,n,n,n,y,n,y,Unknown,y,n,y
republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,Unknown,n,n,n,n,Unknown
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,Unknown
democrat,y,y,y,n,n,n,y,y,Unknown,n,y,n,n,n,y,Unknown
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
democrat,y,n,y,n,n,n,y,y,Unknown,n,n,n,n,n,n,Unknown
democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
republican,n,Unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,Unknown,n,n,n,y,y,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,Unknown,Unknown
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,y,y,n,n,y,Unknown,y,n,n,y,y,n,y,n,Unknown
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,Unknown
democrat,y,y,y,n,n,Unknown,y,y,y,y,n,n,n,n,y,Unknown
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,Unknown
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,Unknown,n,n,n,y
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,Unknown
republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,Unknown
republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,Unknown
democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
democrat,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
republican,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
democrat,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,Unknown
democrat,y,n,y,n,n,n,y,y,Unknown,y,y,y,n,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,n,y,y,n,y,y,y,n,y,y,y,n,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,Unknown,y,y,n,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,y,y,n,n,n,y,y,n,y,y,n,n,Unknown,y,y
democrat,y,n,y,n,n,n,y,n,y,y,y,n,n,n,y,y
democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
democrat,y,n,y,n,y,y,n,Unknown,Unknown,n,y,Unknown,Unknown,Unknown,y,y
democrat,n,n,Unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
democrat,y,n,n,n,y,y,y,n,n,y,y,n,n,y,n,y
democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
republican,n,n,n,y,y,y,n,n,n,y,Unknown,y,y,y,n,n
democrat,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
democrat,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
democrat,y,n,y,n,y,y,y,n,Unknown,n,y,n,y,y,y,Unknown
democrat,y,n,n,n,y,y,Unknown,n,Unknown,n,n,n,n,y,Unknown,n
democrat,Unknown,Unknown,Unknown,Unknown,n,y,y,y,y,y,Unknown,n,y,y,n,Unknown
democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
republican,n,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,y,Unknown,Unknown
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,Unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,Unknown
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,n,Unknown,y,n,Unknown,Unknown,y,y,y,y,Unknown,Unknown,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
republican,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,n,Unknown,Unknown,y,y,y,n,n,n,y,n,y,y,y,Unknown,y
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,Unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
democrat,n,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,Unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
democrat,n,Unknown,y,n,n,n,y,y,y,y,y,n,n,y,y,y
democrat,n,Unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
democrat,Unknown,Unknown,y,n,n,n,y,y,Unknown,n,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
democrat,y,Unknown,y,n,Unknown,Unknown,y,y,y,n,n,n,n,n,y,Unknown
democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,Unknown
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
democrat,n,Unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,Unknown,y
republican,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
democrat,Unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
democrat,n,Unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,Unknown
democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,Unknown,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
democrat,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,y,y,Unknown,y,y,y,n,n,y,n,y,Unknown,y,y,n,n
democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
republican,y,y,n,y,y,y,n,Unknown,n,n,y,y,y,y,n,n
republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
democrat,n,y,y,n,n,y,n,y,y,n,y,n,Unknown,Unknown,Unknown,Unknown
republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
democrat,n,y,y,n,Unknown,y,y,y,y,y,y,n,n,Unknown,n,Unknown
democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
democrat,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,Unknown
democrat,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,Unknown
republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
republican,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
democrat,y,n,y,n,n,n,Unknown,y,y,Unknown,n,n,n,n,y,Unknown
republican,n,Unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
democrat,n,y,y,n,n,n,y,y,y,y,n,n,Unknown,n,y,y
democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
democrat,n,n,y,n,n,n,y,y,y,y,y,Unknown,n,n,y,y
democrat,Unknown,n,y,n,n,n,y,y,y,y,y,Unknown,n,n,y,Unknown
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
democrat,Unknown,Unknown,y,n,n,n,y,y,y,Unknown,Unknown,n,n,n,Unknown,Unknown
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,Unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,n,Unknown,n,n,y,y
democrat,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,Unknown
republican,y,Unknown,n,y,y,y,y,y,n,n,n,y,Unknown,y,Unknown,Unknown
democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
republican,n,Unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
republican,n,y,n,y,y,y,n,Unknown,n,y,n,y,y,y,n,Unknown
democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,n,n,y,n,n,y,y,Unknown,y,y,y,n,n,n,y,y
republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,Unknown
democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,Unknown
republican,n,Unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
democrat,n,n,y,n,n,n,y,y,y,y,y,n,Unknown,n,y,Unknown
democrat,y,y,n,n,n,n,y,y,Unknown,n,y,n,n,n,y,Unknown
democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
republican,y,Unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
democrat,n,n,y,n,n,n,y,y,y,n,n,Unknown,n,n,y,y
democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
